epoch,lr-AdamW,step,train_loss,valid_loss
123,,24799,3.7809553146362305,
123,,24799,,4.287933826446533
,0.0001,24800,,
124,,24899,4.048151016235352,
124,,24999,3.672409772872925,
124,,24999,,4.301053524017334
,0.0001,25000,,
125,,25099,4.039169788360596,
125,,25199,3.9399373531341553,
125,,25199,,4.2599358558654785
,0.0001,25200,,
126,,25299,3.7713634967803955,
126,,25399,3.7190656661987305,
126,,25399,,4.274466037750244
,0.0001,25400,,
127,,25499,3.7624731063842773,
127,,25599,3.524278402328491,
127,,25599,,4.281339168548584
,0.0001,25600,,
128,,25699,3.9102039337158203,
128,,25799,3.869457960128784,
128,,25799,,4.25615119934082
,0.0001,25800,,
129,,25899,3.8135671615600586,
129,,25999,3.7454118728637695,
129,,25999,,4.300294876098633
,0.0001,26000,,
130,,26099,3.9679388999938965,
130,,26199,4.180483818054199,
130,,26199,,4.284839153289795
,0.0001,26200,,
131,,26299,3.7781505584716797,
131,,26399,4.03665828704834,
131,,26399,,4.259734153747559
,0.0001,26400,,
132,,26499,3.7241485118865967,
132,,26599,3.7907402515411377,
132,,26599,,4.308038234710693
,0.0001,26600,,
133,,26699,3.6991159915924072,
133,,26799,3.6571335792541504,
133,,26799,,4.306887626647949
,0.0001,26800,,
134,,26899,3.9739537239074707,
134,,26999,3.9759252071380615,
134,,26999,,4.254440784454346
,0.0001,27000,,
135,,27099,3.8015997409820557,
135,,27199,3.7804627418518066,
135,,27199,,4.335132598876953
,0.0001,27200,,
136,,27299,3.9251959323883057,
136,,27399,3.9381954669952393,
136,,27399,,4.368481159210205
,0.0001,27400,,
137,,27499,3.788606643676758,
137,,27599,3.7017030715942383,
137,,27599,,4.220983982086182
,0.0001,27600,,
138,,27699,3.7511887550354004,
138,,27799,3.450302839279175,
138,,27799,,4.264695167541504
,0.0001,27800,,
139,,27899,3.949280023574829,
139,,27999,3.824845790863037,
139,,27999,,4.215145111083984
,0.0001,28000,,
140,,28099,3.7601587772369385,
140,,28199,4.060531139373779,
140,,28199,,4.2119951248168945
,0.0001,28200,,
141,,28299,3.70576548576355,
141,,28399,3.7807703018188477,
141,,28399,,4.251540184020996
,0.0001,28400,,
142,,28499,3.5688858032226562,
142,,28599,3.52010178565979,
142,,28599,,4.23291015625
,0.0001,28600,,
143,,28699,3.8959085941314697,
143,,28799,4.04909610748291,
143,,28799,,4.250504970550537
,0.0001,28800,,
144,,28899,3.9441041946411133,
144,,28999,4.058166027069092,
144,,28999,,4.235660552978516
,0.0001,29000,,
145,,29099,3.688675880432129,
145,,29199,4.054245948791504,
145,,29199,,4.256103515625
,0.0001,29200,,
146,,29299,3.6837058067321777,
146,,29399,4.039592742919922,
146,,29399,,4.2521443367004395
,0.0001,29400,,
147,,29499,3.6432852745056152,
147,,29599,3.8354108333587646,
147,,29599,,4.209397792816162
,0.0001,29600,,
148,,29699,3.657559633255005,
148,,29799,4.122081279754639,
148,,29799,,4.251791000366211
,0.0001,29800,,
149,,29899,3.845522165298462,
149,,29999,4.075466632843018,
149,,29999,,4.2440056800842285
,0.0001,30000,,
150,,30099,3.636385440826416,
150,,30199,3.8873937129974365,
150,,30199,,4.252130508422852
,0.0001,30200,,
151,,30299,3.9066715240478516,
151,,30399,3.4801793098449707,
151,,30399,,4.207931041717529
,0.0001,30400,,
152,,30499,3.8521406650543213,
152,,30599,3.6305506229400635,
152,,30599,,4.218652248382568
,0.0001,30600,,
153,,30699,3.704615354537964,
153,,30799,3.6911203861236572,
153,,30799,,4.226475238800049
,0.0001,30800,,
154,,30899,3.805501699447632,
154,,30999,3.5943796634674072,
154,,30999,,4.206393718719482
,0.0001,31000,,
155,,31099,3.926360607147217,
155,,31199,3.863787889480591,
155,,31199,,4.3820719718933105
,0.0001,31200,,
156,,31299,3.892411708831787,
156,,31399,3.7527272701263428,
156,,31399,,4.2306036949157715
,0.0001,31400,,
157,,31499,3.609063148498535,
157,,31599,3.7581117153167725,
157,,31599,,4.215179443359375
,0.0001,31600,,
158,,31699,3.9336471557617188,
158,,31799,3.8147356510162354,
158,,31799,,4.202749252319336
,0.0001,31800,,
159,,31899,3.885735511779785,
159,,31999,3.488973617553711,
159,,31999,,4.265843868255615
,0.0001,32000,,
160,,32099,3.3972907066345215,
160,,32199,3.5719640254974365,
160,,32199,,4.230996131896973
,0.0001,32200,,
161,,32299,3.877324342727661,
161,,32399,4.041991233825684,
161,,32399,,4.262599468231201
,0.0001,32400,,
162,,32499,3.798987865447998,
162,,32599,3.7794532775878906,
162,,32599,,4.2317705154418945
,0.0001,32600,,
163,,32699,3.73813533782959,
163,,32799,3.783149480819702,
163,,32799,,4.210300922393799
,0.0001,32800,,
164,,32899,3.6602959632873535,
164,,32999,3.748920202255249,
164,,32999,,4.2426910400390625
,0.0001,33000,,
165,,33099,3.889937400817871,
165,,33199,3.7733490467071533,
165,,33199,,4.1864776611328125
,0.0001,33200,,
166,,33299,3.8364665508270264,
166,,33399,3.758969306945801,
166,,33399,,4.172242641448975
,0.0001,33400,,
167,,33499,3.7696802616119385,
167,,33599,3.9536898136138916,
167,,33599,,4.248159885406494
,0.0001,33600,,
168,,33699,3.800344944000244,
168,,33799,3.819944143295288,
168,,33799,,4.181865215301514
,0.0001,33800,,
169,,33899,3.586939811706543,
169,,33999,3.994786500930786,
169,,33999,,4.217084884643555
,0.0001,34000,,
170,,34099,3.6366488933563232,
170,,34199,3.512263536453247,
170,,34199,,4.182023048400879
,0.0001,34200,,
171,,34299,3.7195980548858643,
171,,34399,3.5868113040924072,
171,,34399,,4.164097309112549
,0.0001,34400,,
172,,34499,3.694434642791748,
172,,34599,4.003117084503174,
172,,34599,,4.248348236083984
,0.0001,34600,,
173,,34699,3.8404228687286377,
173,,34799,3.752814769744873,
173,,34799,,4.294849872589111
,0.0001,34800,,
174,,34899,3.7427585124969482,
174,,34999,3.797041654586792,
174,,34999,,4.16798734664917
,0.0001,35000,,
175,,35099,3.6813814640045166,
175,,35199,3.62966251373291,
175,,35199,,4.223060131072998
,0.0001,35200,,
176,,35299,3.8597676753997803,
176,,35399,3.8567042350769043,
176,,35399,,4.2023491859436035
,0.0001,35400,,
177,,35499,3.499959707260132,
177,,35599,3.6630542278289795,
177,,35599,,4.20305871963501
,0.0001,35600,,
178,,35699,3.9128332138061523,
178,,35799,3.6918091773986816,
178,,35799,,4.199062824249268
,0.0001,35800,,
179,,35899,3.9249391555786133,
179,,35999,3.6853091716766357,
179,,35999,,4.198915481567383
,0.0001,36000,,
180,,36099,3.776629686355591,
180,,36199,3.767720937728882,
180,,36199,,4.201490879058838
,0.0001,36200,,
181,,36299,3.966297149658203,
181,,36399,3.830176591873169,
181,,36399,,4.214974880218506
,0.0001,36400,,
182,,36499,3.7165751457214355,
182,,36599,3.705181837081909,
182,,36599,,4.140640735626221
,0.0001,36600,,
183,,36699,3.6483428478240967,
183,,36799,3.6858468055725098,
183,,36799,,4.228785514831543
,0.0001,36800,,
184,,36899,3.7384488582611084,
184,,36999,3.647143840789795,
184,,36999,,4.257462501525879
,0.0001,37000,,
185,,37099,3.6876041889190674,
185,,37199,4.019356727600098,
185,,37199,,4.164657115936279
,0.0001,37200,,
186,,37299,3.6983790397644043,
186,,37399,3.796041488647461,
186,,37399,,4.180376052856445
,0.0001,37400,,
187,,37499,3.757614850997925,
187,,37599,3.509873628616333,
187,,37599,,4.155135154724121
,0.0001,37600,,
188,,37699,3.498971939086914,
188,,37799,3.563680648803711,
188,,37799,,4.20300817489624
,0.0001,37800,,
189,,37899,3.571781873703003,
189,,37999,3.7011570930480957,
189,,37999,,4.18714714050293
,0.0001,38000,,
190,,38099,3.6115243434906006,
190,,38199,3.6186294555664062,
190,,38199,,4.175652027130127
,0.0001,38200,,
191,,38299,3.788140296936035,
191,,38399,3.679701805114746,
191,,38399,,4.219574451446533
,0.0001,38400,,
192,,38499,3.868328809738159,
192,,38599,3.893850326538086,
